College_Name,District,Type,Branch ,Fees_Per_Year,NAAC_Grade,Placement_Percentage
JNTUA College of Engineering,Anantapur,Government,CSE,10000,A,80
SVU College of Engineering,Tirupati,Government,ECE ,12000,A,75
Andhra University College of Engineering,Visakhapatnam,Government,CSE ,15000,A+,85
RVR & JC College of Engineering,Guntur,Private ,CSE ,70000,A+,90
Vignan's Foundation,Guntur,Private ,IT,85000,A+,88
KL University,Guntur,Private ,CSE ,150000,A++,95
SRKR Engineering College,West Godavari,Private ,ECE,90000,A+,87
Gayatri Vidya Parishad,Visakhapatnam,Private ,CSE ,95000,A+,89
Aditya Engineering College,East Godavari,Private ,CSE ,80000,A,84
Lakireddy Bali Reddy College,Krishna ,Private ,IT,85000,A,86
GMR Institute of Technology,Srikakulam,Private ,CSE ,90000,A+,88
Pragati Engineering College,East Godavari,Private ,ECE ,75000,A,82
ANITS,Visakhapatnam,Private ,CSE ,95000,A+,89
VR Siddhartha Engineering College,Krishna ,Private ,IT ,85000,A+,87
PVPSIT,Krishna ,Private ,CSE ,78000,A,84
GVPCE,Visakhapatnam,Private ,ECE ,92000,A+,88
Vishnu Institute of Technology,West Godavari,Private ,CSE ,88000,A+,90
Sasi Institute of Technology,West Godavari,Private ,EEE,70000,A,80
Kallam Haranadhareddy Institute,Guntur,Private ,CSE ,72000,A,81
QIS College of Engineering,Prakasam,Private ,IT ,68000,A,79
VIT-AP University,Guntur,Private ,CSE ,195000,A++,94
Mohan Babu University,Tirupati,Private ,CSE ,120000,A+,88
Raghu Engineering College,Visakhapatnam,Private ,ECE ,85000,A,83
Avanthi Institute of Engineering,Visakhapatnam,Private ,IT ,70000,A,78
Prasad V Potluri Siddhartha Institute,Krishna,Private ,CSE,80000,A+,86
Gudlavalleru Engineering College,Krishna,Private ,ECE ,75000,A+,84
DNR College of Engineering,West Godavari,Private ,CSE,68000,A,77
Narayana Engineering College,Nellore,Private ,CSE,85000,A,82
Audisankara College of Engineering,Nellore,Private ,EEE ,70000,A,79
St. Ann's College of Engineering,Chirala ,Private ,IT ,65000,B+,74
